,shots,shots_against,goals,goals_against,saves,assists,score,mvp,shooting_percentage,bpm,bcpm,avg_amount,amount_collected,amount_stolen,amount_collected_big,amount_stolen_big,amount_collected_small,amount_stolen_small,count_collected_big,count_stolen_big,count_collected_small,count_stolen_small,amount_overfill,amount_overfill_stolen,amount_used_while_supersonic,time_zero_boost,percent_zero_boost,time_full_boost,percent_full_boost,time_boost_0_25,time_boost_25_50,time_boost_50_75,time_boost_75_100,percent_boost_0_25,percent_boost_25_50,percent_boost_50_75,percent_boost_75_100,avg_speed,total_distance,time_supersonic_speed,time_boost_speed,time_slow_speed,time_ground,time_low_air,time_high_air,time_powerslide,count_powerslide,avg_powerslide_duration,avg_speed_percentage,percent_slow_speed,percent_boost_speed,percent_supersonic_speed,percent_ground,percent_low_air,percent_high_air,avg_distance_to_ball,avg_distance_to_ball_possession,avg_distance_to_ball_no_possession,avg_distance_to_mates,time_defensive_third,time_neutral_third,time_offensive_third,time_defensive_half,time_offensive_half,time_behind_ball,time_infront_ball,time_most_back,time_most_forward,time_closest_to_ball,time_farthest_from_ball,percent_defensive_third,percent_offensive_third,percent_neutral_third,percent_defensive_half,percent_offensive_half,percent_behind_ball,percent_infront_ball,percent_most_back,percent_most_forward,percent_closest_to_ball,percent_farthest_from_ball,inflicted,taken,player_name
EU A KC vs SLY G4 2023-02-24.16.29,2,7,0,1,1,0,188,False,0,420,427.56036,53.82,2205,454,1610,317,595,137,18,4,56,14,224,98,106,52.65,17.015158,30.48,9.85037,118.27,31.69,55.59,106.23,37.9338,10.164218,17.82988,34.0721,1540,469202,47.84,129.64,134.74,133.27,143.12,35.83,6.2,49,0.13,66.95652,43.15547,41.522003,15.322529,42.684643,45.839466,11.475882,2614,2363,2856,3601,123.67,97.59,90.96,168.47,143.76,213.86,98.36,98.5,111,108.7,100.6,39.60989,29.133303,31.256805,53.957024,46.04298,68.496574,31.503428,31.832726,35.87241,35.12911,32.511395,1,1,Vati
EU A KC vs SLY G3 2023-02-24.16.23,3,11,1,4,2,0,349,False,33.333332,455,474.44534,46.52,2641,757,1911,521,730,236,21,6,69,20,253,83,470,41.47,12.41654,66.06,19.779036,112.82,68.47,54.28,111.19,32.53547,19.745646,15.653478,32.065403,1703,559624,87.99,141.43,122.13,193.01,139.12,19.41,7.2,58,0.12,74.04348,34.740437,40.230408,25.029158,54.904137,39.574444,5.52142,3083,2665,3444,3603,138.74,120.53,92.27,197.13,154.42,236.04,115.51,105.2,119,93.9,139.3,39.46635,26.247368,34.28628,56.074528,43.925476,67.142654,32.857346,31.49795,35.62981,28.114614,41.707836,2,0,Vati
EU A KC vs SLY G2 2023-02-24.16.16,8,7,2,2,1,1,555,True,25,414,423.08408,52.73,2649,206,1854,0,795,206,21,0,73,19,292,8,268,45.91,12.220832,51.39,13.679559,93.22,85.18,72.82,128.93,24.5219,22.406944,19.155598,33.915558,1602,587859,71.56,151.39,167.29,192.86,168.54,28.83,6.93,55,0.13,69.652176,42.868492,38.794075,18.337435,49.42214,43.189915,7.387951,2641,2446,2984,3500,186.82,134.9,68.51,254.45,135.78,290.56,99.67,128.3,120.5,139,123.9,47.87433,17.556313,34.56935,65.20514,34.794865,74.45866,25.54135,34.152313,32.076023,37.000557,32.98107,0,1,Vati
EU A KC vs SLY G1 2023-02-24.16.07,5,4,0,2,2,3,531,True,0,425,425.4639,51.1,2396,849,1735,580,661,269,22,6,62,24,426,28,263,40.01,11.84113,52.49,15.53464,119.31,40.84,39.5,139.76,35.15218,12.032646,11.637843,41.177338,1634,533538,68.84,144.28,135.4,177.29,143.11,28.13,7,62,0.11,71.04348,38.84999,41.39791,19.752094,50.86793,41.061028,8.071041,3008,2969,3069,3835,132.52,105.43,110.58,186.24,162.29,234.9,113.62,95.6,139.7,99.2,141.6,38.022552,31.727541,30.249907,53.43586,46.564137,67.39929,32.60071,28.29323,41.344814,29.358665,41.90713,2,2,Vati
EU A KC vs SLY G0 2023-02-24.15.59,1,4,0,0,0,0,174,False,0,293,262.67816,53.92,1244,240,1082,207,162,33,14,3,15,3,330,96,55,32.45,11.420025,28.12,9.896182,111.33,49.96,16.76,56,47.566757,21.345865,7.160863,23.926512,1590,237077,37.37,58.9,147.34,113.9,115.59,14.11,2.68,21,0.13,69.13043,60.481922,24.17799,15.340094,46.75698,47.45074,5.7922826,2282,2198,2534,3230,151.73,53.89,37.98,180.17,63.44,163.61,80,185.1,67.8,113.8,127.1,62.286537,15.591133,22.122332,73.958374,26.041624,67.16062,32.839375,65.141655,23.86064,40.04927,44.729897,0,1,Vati
EU P-K KC vs TL G6 2023-02-12.18.32,3,6,1,0,3,0,477,True,33.333332,389,383.37994,49.24,2033,395,1247,181,786,214,14,2,67,20,201,27,347,40.09,12.600182,35.56,11.176415,124.66,46.16,51.55,88.2,40.1391,14.862993,16.598513,28.399393,1550,479459,47.8,138.24,134.76,165.04,133.55,22.21,7.06,66,0.11,67.391304,42.00748,43.092274,14.9002495,51.446384,41.630302,6.923317,2780,2522,3088,3680,144.47,120.77,55.57,211.72,109.09,243.72,77.09,109.1,101.1,121.1,108.8,45.032887,17.32178,37.645336,65.99545,34.00455,75.9702,24.029799,34.289845,31.775465,38.061413,34.195553,1,2,Vati
EU P-K KC vs TL G5 2023-02-12.18.23,1,4,0,0,2,1,358,True,0,361,393.8963,45.28,2078,163,1394,0,684,163,16,0,61,14,238,0,240,47.25,14.927495,52.14,16.472372,111.41,69.02,37.96,101.49,34.82869,21.576841,11.866951,31.727526,1527,475773,52.51,127.4,142.26,180.91,123.83,17.45,6.61,67,0.1,66.391304,44.156807,39.54434,16.298847,56.150097,38.43384,5.416059,2891,2928,2882,3705,154.81,102.36,65.01,207.13,115.05,255.39,66.79,121.7,111.3,106.8,124.4,48.05078,20.178162,31.77106,64.29015,35.709854,79.269356,20.730648,38.448174,35.162544,33.74088,39.30117,0,1,Vati
EU P-K KC vs TL G4 2023-02-12.18.17,6,8,4,1,3,2,964,True,66.666664,428,469.48856,49.67,2930,851,2085,582,845,269,22,6,71,24,150,32,376,60.85,16.2505,57.08,15.2436905,130.65,65.72,66.46,129.59,33.293407,16.747364,16.935936,33.023293,1621,592690,74.9,162.33,165.81,198.69,171.39,32.96,9.29,80,0.12,70.478264,41.139835,40.276398,18.583763,49.297836,42.524315,8.177848,2684,2609,2795,3441,158.02,144.44,100.58,220.54,182.5,285.52,117.52,103,158.9,128.9,125,39.207027,24.95534,35.837635,54.71914,45.28087,70.841606,29.158398,27.50701,42.43557,34.423817,33.382294,1,0,Vati
EU P-K KC vs TL G3 2023-02-12.18.06,3,7,0,3,0,0,152,False,0,421,429.95255,51.14,2357,511,1720,317,637,194,22,4,59,17,428,82,497,41.21,12.528882,45.03,13.690258,74.81,100.75,59.76,99.53,22.341349,30.0881,17.846798,29.723759,1561,506526,64.73,120.72,154.73,186.35,131.89,21.95,8.8,81,0.11,67.86957,45.48474,35.48709,19.028162,54.778214,38.769512,6.4522767,3033,2877,3122,3724,146.25,123.42,70.51,211.88,128.3,238.9,101.27,104.7,120.9,96.4,143.6,42.991947,20.727262,36.280792,62.284676,37.71533,70.22959,29.77041,31.831448,36.756657,29.308037,43.658035,1,0,Vati
EU P-K KC vs TL G2 2023-02-12.17.58,3,9,1,4,2,0,377,False,33.333332,448,490.4566,46.73,2818,652,1934,387,884,265,24,4,79,24,407,14,432,46,13.3433895,30.05,8.716714,124.23,85.88,53.74,89.11,35.19662,24.331367,15.22552,25.246485,1639,540535,72.28,138.08,146.56,189.96,151.85,15.1,8.63,83,0.1,71.26087,41.06242,38.68654,20.251036,53.2235,42.545742,4.230758,3171,3052,3323,3891,160.62,127.8,68.5,239.01,117.91,239.01,117.9,108.3,127.8,99.5,148.8,45.001682,19.191977,35.806343,66.96459,33.035416,66.96646,33.03354,31.41498,37.07142,28.862331,43.162964,3,2,Vati
EU P-K KC vs TL G1 2023-02-12.17.50,4,5,0,0,0,1,234,False,0,426,442.24994,46.98,2381,223,1736,91,645,132,21,1,56,11,367,8,252,67.93,21.029007,52.08,16.122341,112.64,67.42,34.33,112.39,34.469673,20.631618,10.50554,34.39317,1598,507331,61.3,144.59,125.75,167.6,140.28,23.76,6.35,60,0.11,69.478264,37.91762,43.598484,18.483898,50.536724,42.298878,7.164395,2685,2529,2810,3621,167.28,111.91,52.45,234.84,96.79,268.29,63.35,116.5,96.4,123.8,119.5,50.440235,15.815341,33.74442,70.81386,29.18614,80.89796,19.102037,36.064762,29.84243,38.324615,36.99347,0,1,Vati
EU P-I KC vs OXG G4 2023-02-12.11.27,2,8,1,3,2,3,578,True,50,446,444.53397,43.77,2574,444,1837,155,737,289,21,2,65,25,296,54,190,33.52,9.648264,59.88,17.235622,147.34,66.3,30.45,109.83,41.63088,18.73305,8.60364,31.032438,1561,525507,60.34,132.23,175.01,192.13,144.35,31.1,7.06,62,0.11,67.86957,47.611404,35.97312,16.415474,52.26889,39.270363,8.460743,2735,2490,2966,3671,176.96,110.17,80.45,238.81,128.78,281.6,85.99,133,117.1,122.8,128.6,48.1419,21.886389,29.971706,64.9664,35.033596,76.60709,23.39291,38.282192,33.7056,35.346264,37.015717,0,1,Vati
EU P-I KC vs OXG G4 2023-02-12.17.27,2,8,1,3,2,3,578,True,50,447,444.74487,43.65,2577,444,1837,155,740,289,21,2,65,25,296,54,193,33.64,9.67612,59.83,17.209343,147.36,66.43,30.33,110.03,41.609486,18.757587,8.564167,31.068754,1563,525494,60.31,132.81,174.36,192.26,144.2,31.01,7.06,62,0.11,67.95652,47.447483,36.140743,16.411777,52.319916,39.2413,8.438784,2739,2499,2965,3671,177.12,109.83,80.53,238.68,128.8,281.7,85.77,133.7,118,122.6,128.1,48.198544,21.91412,29.887342,64.95048,35.04953,76.659325,23.340681,38.45711,33.941208,35.26434,36.846348,0,1,Vati
EU P-I KC vs OXG G3 2023-02-12.11.19,5,8,1,1,2,1,411,False,20,400,423.4153,49.11,2358,513,1580,287,778,226,19,3,68,19,377,13,334,33.16,9.923984,45.54,13.629017,99.73,90.35,50.89,93.26,29.838734,27.032282,15.226042,27.90294,1517,491971,58.12,122.76,164.58,199.82,127.7,17.94,7.59,70,0.11,65.95652,47.640827,35.53523,16.823946,57.841713,36.965202,5.1930757,2871,2765,3020,3490,153.25,135.81,56.39,223.04,122.41,254.64,90.81,120.8,94.4,92.7,128.3,44.362423,16.323635,39.31394,64.565056,35.43494,73.71255,26.28745,36.152508,28.251629,27.74286,38.397076,2,2,Vati
EU P-I KC vs OXG G3 2023-02-12.17.19,5,8,1,1,2,1,411,False,20,397,421.02115,49.02,2346,501,1580,287,766,214,19,3,67,18,377,13,356,33.12,9.906381,45.58,13.633237,99.8,90.58,50.14,93.97,29.836468,27.080032,14.989985,28.093515,1521,492026,58.36,122.24,165.23,200.25,127.59,17.99,7.54,69,0.11,66.13043,47.77781,35.346844,16.875343,57.904175,36.893852,5.201978,2875,2762,3033,3492,153.38,136.07,56.37,223.15,122.67,254.49,91.34,121.3,94.8,92.6,130.3,44.35255,16.300386,39.34706,64.52779,35.47221,73.58817,26.41182,36.28152,28.355219,27.697187,38.973473,2,2,Vati
EU P-I KC vs OXG G2 2023-02-12.11.10,1,5,0,2,1,0,174,False,0,414,447.52277,50.3,2493,372,1852,268,641,104,22,3,58,9,381,36,337,26.73,7.9972477,56.26,16.832216,97.15,76.56,46.02,121.46,28.473871,22.43911,13.488086,35.598934,1513,494944,52.63,121.39,174.65,199.88,124.2,24.59,10.44,90,0.12,65.78261,50.090347,34.815155,15.094502,57.32641,35.621075,7.0525136,2843,2919,2700,3571,172.5,122.21,53.96,244.63,104.04,279.09,69.58,135.7,99,106.9,141.2,49.473717,15.475952,35.050335,70.1609,29.839102,80.044174,19.955833,40.59957,29.619436,31.983007,42.245094,1,1,Vati
EU P-I KC vs OXG G2 2023-02-12.17.10,1,5,0,2,1,0,174,False,0,413,447.28183,50.3,2493,372,1852,268,641,104,22,3,58,9,381,36,337,26.8,8.013874,56.15,16.790262,97.28,76.58,45.99,121.54,28.495268,22.431822,13.4713955,35.60151,1512,494727,52.57,121.62,174.51,200.14,123.87,24.69,10.21,90,0.11,65.73913,50.045883,34.878117,15.075996,57.39604,35.523373,7.080585,2838,2908,2710,3571,172.38,122.15,54.18,244.81,103.89,278.49,70.21,135.5,99.9,106.4,140.9,49.433628,15.537267,35.02911,70.20648,29.793518,79.86522,20.134787,40.51791,29.872614,31.816278,42.132645,1,1,Vati
EU P-I KC vs OXG G1 2023-02-12.11.02,3,7,1,0,1,0,316,False,33.333332,445,478.73947,54.64,2537,924,1838,714,699,210,24,8,64,20,593,102,368,32.89,10.344069,50.15,15.772425,81.44,77.11,59.98,104.47,25.213623,23.873066,18.56966,32.343655,1544,484247,56.92,123.88,144.22,170.24,130.1,24.67,7.53,63,0.12,67.13043,44.37265,38.114574,17.512768,52.37992,40.029537,7.5905347,2737,2648,2803,3436,155.55,104.88,64.59,209.51,115.51,260.51,64.5,102.1,94.9,96.4,101.6,47.858597,19.872622,32.268784,64.46065,35.539352,80.15446,19.845543,32.11096,29.846523,30.31828,31.953705,0,1,Vati
EU P-I KC vs OXG G1 2023-02-12.17.02,3,7,1,0,1,0,316,False,33.333332,444,478.48364,54.8,2537,924,1838,714,699,210,24,8,63,19,593,102,357,32.83,10.319681,50.3,15.811146,81.6,77.21,60.09,104.37,25.242058,23.88406,18.588179,32.285706,1550,484235,57.1,123.7,144.46,170.22,130.43,24.61,7.74,63,0.12,67.391304,44.4137,38.031113,17.555185,52.333515,40.100224,7.5662546,2740,2668,2786,3435,155.63,104.72,64.91,209.56,115.69,260.76,64.5,102.3,95.6,97.2,102.9,47.847874,19.956343,32.19578,64.430435,35.56956,80.16971,19.83029,32.156666,30.050608,30.553547,32.34527,0,1,Vati
EU P-I KC vs OXG G2 2023-02-12.10.54,0,0,0,0,0,0,16,True,0,222,121.930565,14.09,48,12,0,0,48,12,0,0,4,1,0,0,25,8.46,35.817104,0,0,15.78,4.46,0,0,77.964424,22.035574,0,0,1844,36700,8.6,6.54,8.51,12.1,11.55,0,0.54,4,0.13,80.17391,35.983086,27.653275,36.363636,51.16279,48.837208,0,3661,4292,2095,3911,12.34,5.34,5.97,15.93,7.71,20.02,3.62,16.3,4.4,3.7,11.9,52.17759,25.24313,22.57928,67.38579,32.614216,84.68697,15.313029,69.00931,18.62828,15.66469,50.38103,0,1,Vati
EU P-I KC vs OXG G0 2023-02-12.16.54,0,0,0,0,0,0,16,True,0,222,121.724434,14.09,48,12,0,0,48,12,0,0,4,1,0,0,25,8.42,35.58749,0,0,15.81,4.42,0,0,78.15126,21.84874,0,0,1855,36701,8.46,6.74,8.47,12.2,11.48,0,0.5,4,0.13,80.652176,35.78369,28.474863,35.741444,51.52027,48.47973,0,3639,4253,2206,3897,12.29,5.41,5.97,15.98,7.69,20.06,3.61,16.1,4.3,3.4,12.1,51.922264,25.2218,22.855936,67.51162,32.48838,84.74863,15.251373,68.04734,18.174135,14.370245,51.141167,0,1,Vati
EU P-I KC vs OXG G1 2023-02-12.10.53,0,2,0,0,1,0,52,False,0,410,426.6289,56.74,251,0,142,0,109,0,2,0,10,0,57,0,29,0.07,0.19830029,1.34,3.796034,1.81,11.08,14.32,9.33,4.9534755,30.322933,39.189926,25.53366,1494,50743,6.32,8.7,23.3,24.6,13.71,0,1.51,13,0.12,64.95652,60.803757,22.703548,16.492693,64.213,35.787,0,2874,2713,2871,3649,34.73,3.58,0,38.31,0,30.91,7.4,17.5,6.7,11.2,17.6,90.65519,0,9.344819,100,0,80.68389,19.316105,49.575073,18.980171,31.728046,49.858356,0,0,Vati
EU P-I KC vs OXG G1 2023-02-12.16.53,0,2,0,0,1,0,52,False,0,410,426.2666,56.74,251,0,142,0,109,0,2,0,10,0,57,0,33,0.03,0.08491366,1.32,3.7362013,1.77,11.22,14.21,9.37,4.840033,30.680885,38.856987,25.622095,1476,50621,6.3,8.89,23.08,24.49,13.78,0,1.58,13,0.12,64.17391,60.308334,23.229685,16.46198,63.992683,36.007317,0,2885,2744,2896,3653,34.66,3.62,0,38.27,0,30.9,7.38,17.5,6.6,11.2,17.2,90.543365,0,9.456635,100,0,80.72101,19.278997,49.53297,18.681007,31.701101,48.683838,0,0,Vati
EU P-I KC vs OXG G0 2023-02-12.10.49,2,1,1,1,0,0,196,False,50,374,277.2293,60.54,1142,363,960,287,182,76,13,3,17,7,357,17,111,14.99,6.064897,53.49,21.641851,49.15,29.13,37.31,68.41,26.711956,15.831522,20.277176,37.17935,1492,264759,93.78,56.3,107.28,161.06,80.73,15.56,3.75,29,0.13,64.86957,41.684803,21.875973,36.43923,62.584026,31.369732,6.0462403,3187,2894,3925,3996,90.96,39.12,127.28,107.94,149.42,190.17,67.19,74.5,72.5,56.3,80,35.34349,49.456017,15.200499,41.941254,58.058754,73.89261,26.107399,30.142418,29.333225,22.778767,32.367695,4,0,Vati
EU P-I KC vs OXG G0 2023-02-12.16.49,2,1,1,1,0,0,196,False,50,374,276.9828,60.54,1142,363,960,287,182,76,13,3,17,7,357,17,93,14.99,6.0595036,53.47,21.61452,49.24,29.17,37.25,68.45,26.74488,15.843789,20.23247,37.178856,1489,264768,41.75,108.36,107.33,161.24,80.54,15.66,4.03,30,0.13,64.73913,41.69127,42.091362,16.217371,62.632072,31.28496,6.0829706,3195,2904,3925,4003,90.84,39.29,127.3,107.89,149.55,190.35,67.09,74.6,72.3,56.8,81.1,35.287262,49.450336,15.262402,41.908794,58.091206,73.93956,26.06044,30.156034,29.226294,22.960627,32.78357,4,0,Vati
EU P-E J KC vs GA G6 2023-02-11.13.47,7,3,2,2,0,1,484,True,28.571428,420,447.04898,54.18,2492,618,1842,351,650,267,23,4,66,25,556,68,414,46.3,13.84321,75.86,22.681337,101.34,62.69,49.69,135.06,29.055565,17.974081,14.246803,38.723553,1626,535360,75.58,130.81,145.66,192.13,138.36,21.56,8.03,74,0.11,70.695656,41.374805,37.156654,21.468542,54.574635,39.301235,6.1241302,2947,2927,2968,3741,134.3,114.47,103.27,198.49,153.55,273.31,78.74,127.2,100.4,110.2,123,38.149075,29.334734,32.51619,56.382797,43.617203,77.63386,22.366142,38.031456,30.018538,32.948635,36.7757,2,0,Vati
EU P-E KC vs GA G6 2023-02-11.19.47,7,3,2,2,0,1,484,True,28.571428,422,448.95154,54.09,2505,631,1842,351,663,280,23,4,67,26,556,68,423,46.11,13.773224,75.92,22.67758,101.48,62.81,49.67,135.01,29.079863,17.998682,14.233315,38.688137,1628,535408,75.54,131.02,145.49,192.78,137.83,21.43,7.88,74,0.11,70.78261,41.326515,37.2163,21.457178,54.760826,39.151802,6.0873766,2943,2926,2963,3738,134.02,114.66,103.36,198.56,153.48,273.32,78.72,127.6,100.8,110.5,123.3,38.06954,29.3603,32.57016,56.402683,43.59732,77.6389,22.361095,38.114582,30.109325,33.006752,36.83016,2,0,Vati
EU P-E J KC vs GA G5 2023-02-11.13.39,1,4,0,2,1,1,312,False,0,415,435.16406,51.95,2414,582,1855,364,559,218,22,4,51,19,384,43,309,40.24,12.089894,67.72,20.346113,106.19,53.66,69.29,110.63,31.253492,15.7930355,20.393206,32.56026,1548,504413,54.63,130.75,162.14,175.43,140.17,31.92,6.79,60,0.11,67.304344,46.656303,37.623734,15.719957,50.48055,40.33437,9.185083,2985,2898,3107,3719,161.1,97.41,89.01,209.94,137.58,266,81.53,136.2,105.6,97.4,131,46.357044,25.612913,28.03004,60.410908,39.589085,76.54015,23.459845,40.920563,31.726955,29.26331,39.35825,1,1,Vati
EU P-E KC vs GA G5 2023-02-11.19.39,1,4,0,2,1,1,312,False,0,415,434.86353,51.95,2414,582,1855,364,559,218,22,4,51,19,384,43,309,40.26,12.087548,67.67,20.31705,106.41,53.84,69.21,110.66,31.286016,15.829707,20.348701,32.535576,1551,504542,54.88,130.71,161.84,175.14,140.22,32.08,6.85,60,0.11,67.434784,46.582047,37.62197,15.795988,50.408703,40.358047,9.23325,2991,2909,3107,3717,160.66,97.78,88.98,209.78,137.65,265.58,81.85,135.9,104.8,96.8,130.4,46.243736,25.61165,28.144608,60.38051,39.61949,76.44129,23.558702,40.80223,31.464857,29.06296,39.150925,1,1,Vati
EU P-E KC vs GA G4 2023-02-11.13.29,3,5,3,1,0,0,479,True,100,402,401.46747,50.57,2371,570,1651,337,720,233,20,4,63,21,373,71,312,36.06,10.17638,54.15,15.281501,96.48,82.26,51.55,120.63,27.493444,23.441238,14.689958,34.375355,1538,530167,64.63,132.35,166.02,195.35,139.91,27.74,9.47,84,0.11,66.86957,45.73554,36.460056,17.804407,53.815426,38.542698,7.6418734,2899,2613,3098,3575,162.46,127.32,73.22,211.8,151.2,278.44,84.56,126.2,133.8,104.2,132,44.75482,20.1708,35.07438,58.347107,41.652893,76.70523,23.294765,35.614506,37.759277,29.405954,37.251305,0,2,Vati
EU P-E KC vs GA G4 2023-02-11.19.29,3,5,3,1,0,0,479,True,100,402,401.31967,50.48,2372,571,1651,337,721,234,20,4,63,21,373,71,312,36.19,10.205002,53.91,15.201759,96.67,82.28,51.62,120.58,27.529547,23.431581,14.700271,34.338604,1545,530114,64.87,132.35,165.65,195.6,139.37,27.9,9.3,83,0.11,67.17391,45.64996,36.47312,17.876926,53.903603,38.407696,7.688704,2882,2580,3095,3580,162.22,127.56,73.1,211.72,151.15,278.46,84.42,126.3,134.9,104.4,133.1,44.703484,20.1444,35.152115,58.345966,41.654034,76.73611,23.26389,35.614582,38.039642,29.439133,37.532078,0,2,Vati
EU P-E KC vs GA G3 2023-02-11.13.20,4,6,0,2,2,1,480,False,0,462,483.53204,50.42,4096,871,2852,389,1244,482,36,4,92,34,800,16,454,61.27,12.054853,117.6,23.137764,165.88,98.06,94.25,159.33,32.052868,18.94806,18.211855,30.787214,1519,767010,86.59,197.09,236.42,279.89,190.32,49.89,15.31,118,0.13,66.04348,45.456646,37.894638,16.648722,53.81465,36.59296,9.592385,2756,2566,2894,3650,242.55,172.01,105.53,322.68,197.42,382.45,137.65,172.5,171.9,179.3,184.7,46.636158,20.290718,33.07312,62.04192,37.958088,73.533936,26.466064,33.939323,33.821274,35.277218,36.33967,0,0,Vati
EU P-E KC vs GA G3 2023-02-11.19.20,4,6,0,2,2,1,480,False,0,462,483.67865,50.52,4097,871,2852,389,1245,482,36,4,92,34,800,16,439,61.24,12.049663,117.73,23.16471,165.8,98.2,94.13,159.34,32.04051,18.976946,18.190428,30.792126,1517,767053,87.08,196.65,236.26,279.61,190.54,49.84,15.27,119,0.13,65.95652,45.43549,37.818035,16.746477,53.772186,36.643013,9.5848,2766,2567,2917,3650,242.31,172.3,105.38,322.69,197.3,382.66,137.33,173,171.6,178,185.4,46.598972,20.265774,33.135254,62.056965,37.94304,73.58988,26.410124,34.039707,33.76424,35.023514,36.479546,0,0,Vati
EU P-E KC vs GA G2 2023-02-11.13.10,2,11,0,2,0,1,192,False,0,427,466.2175,47.19,2491,567,1845,331,646,236,20,4,61,21,205,77,214,56.97,17.770916,46.72,14.5735855,120.88,49.13,55.55,98.22,37.333992,15.173883,17.156712,30.335413,1611,506934,52.77,150.2,126.33,178.57,119.29,31.44,8.9,69,0.13,70.04348,38.363197,45.611904,16.024902,54.227146,36.225323,9.547524,2862,2586,3189,3588,131.02,112.86,85.42,185.23,144.07,218.63,110.68,105.3,102.8,90.1,124.2,39.78743,25.939873,34.2727,56.249622,43.750385,66.390335,33.60967,32.846718,32.06688,28.10531,38.742283,2,1,Vati
EU P-E KC vs GA G2 2023-02-11.19.10,2,11,0,2,0,1,192,False,0,427,465.91226,47.19,2491,567,1845,331,646,236,20,4,61,21,205,77,217,57.11,17.802923,46.59,14.5235195,120.84,49.22,55.59,98.28,37.304356,15.194641,17.161116,30.33989,1613,506771,52.56,150.41,126.32,178.82,119.17,31.3,8.78,70,0.13,70.13043,38.36132,45.677063,15.961614,54.304718,36.189987,9.5053,2847,2585,3155,3590,131.28,112.68,85.33,185.08,144.21,218.58,110.71,105.2,102.9,89.6,124.1,39.86759,25.913328,34.219078,56.205776,43.794228,66.37918,33.62082,32.79404,32.07706,27.931044,38.685745,2,1,Vati
EU P-E KC vs GA G1 2023-02-11.13.03,3,2,0,0,0,0,246,False,0,416,429.18387,59.86,2703,958,1794,563,909,395,24,7,77,30,681,168,399,30.87,8.16926,74.73,19.776121,89.99,54.16,96.35,140.72,23.605791,14.20702,25.27412,36.913067,1572,591023,76.3,149.72,157.75,193.56,160.88,29.33,11.31,90,0.13,68.347824,41.105347,39.012947,19.8817,50.436462,41.920944,7.6425986,2673,2556,2785,3664,168.22,138.87,76.68,242,141.77,289.66,94.1,125,137.9,131.7,137.8,43.833546,19.980719,36.185738,63.0586,36.941395,75.47946,24.520533,33.079285,36.493065,34.852333,36.466602,0,0,Vati
EU P-E KC vs GA G1 2023-02-11.19.03,3,2,0,0,0,0,246,False,0,416,428.93414,59.86,2703,958,1794,563,909,395,24,7,77,30,681,168,399,30.9,8.1724415,74.76,19.772547,90.03,54.23,96.55,140.69,23.598951,14.214941,25.307995,36.878113,1571,590923,77.04,149.22,157.72,193.56,160.99,29.43,11.48,90,0.13,68.304344,41.075054,38.861397,20.063545,50.40888,41.926666,7.664462,2678,2558,2791,3663,168.29,138.96,76.73,242.15,141.83,289.9,94.08,124.8,138.7,131.5,137.6,43.827805,19.982815,36.18939,63.063183,36.93682,75.498726,24.501278,33.00714,36.68342,34.77916,36.39249,0,0,Vati
EU P-E KC vs GA G0 2023-02-11.12.54,1,1,0,0,0,0,20,False,0,564,539.54083,64.27,423,41,338,0,85,41,4,0,9,5,31,8,111,2.3,4.889456,7.21,15.32738,9.62,2.96,7.43,21.51,23.169556,7.129094,17.89499,51.80636,1823,78643,19.38,13.87,10.67,20.09,23.83,0,0.7,7,0.1,79.26087,24.294172,31.580147,44.125683,45.74226,54.257744,0,2739,2611,3148,4306,16.39,11.64,15.89,22.68,21.24,36.24,7.68,34.1,15,17.6,30.6,37.317852,36.17942,26.502733,51.639347,48.360657,82.513664,17.486338,72.49149,31.887754,37.414967,65.05102,0,1,Vati
EU P-E KC vs GA G0 2023-02-11.18.54,1,1,0,0,0,0,20,False,0,559,534.8788,64.27,423,41,338,0,85,41,4,0,9,5,31,8,111,2.33,4.910432,7.33,15.44784,9.74,3.03,7.44,21.7,23.240276,7.2297783,17.752327,51.77762,1810,78755,19.59,13.88,10.87,20.1,24.24,0,0.67,7,0.1,78.695656,24.51511,31.303564,44.181328,45.331528,54.668472,0,2738,2588,3165,4233,16.55,11.8,16,22.92,21.42,36.67,7.67,34.6,15,17.8,31,37.316795,36.076664,26.60654,51.691475,48.308525,82.70185,17.298153,72.91885,31.612223,37.51317,65.331924,0,1,Vati
