,shots,shots_against,goals,goals_against,saves,assists,score,mvp,shooting_percentage,bpm,bcpm,avg_amount,amount_collected,amount_stolen,amount_collected_big,amount_stolen_big,amount_collected_small,amount_stolen_small,count_collected_big,count_stolen_big,count_collected_small,count_stolen_small,amount_overfill,amount_overfill_stolen,amount_used_while_supersonic,time_zero_boost,percent_zero_boost,time_full_boost,percent_full_boost,time_boost_0_25,time_boost_25_50,time_boost_50_75,time_boost_75_100,percent_boost_0_25,percent_boost_25_50,percent_boost_50_75,percent_boost_75_100,avg_speed,total_distance,time_supersonic_speed,time_boost_speed,time_slow_speed,time_ground,time_low_air,time_high_air,time_powerslide,count_powerslide,avg_powerslide_duration,avg_speed_percentage,percent_slow_speed,percent_boost_speed,percent_supersonic_speed,percent_ground,percent_low_air,percent_high_air,avg_distance_to_ball,avg_distance_to_ball_possession,avg_distance_to_ball_no_possession,avg_distance_to_mates,time_defensive_third,time_neutral_third,time_offensive_third,time_defensive_half,time_offensive_half,time_behind_ball,time_infront_ball,time_most_back,time_most_forward,goals_against_while_last_defender,time_closest_to_ball,time_farthest_from_ball,percent_defensive_third,percent_offensive_third,percent_neutral_third,percent_defensive_half,percent_offensive_half,percent_behind_ball,percent_infront_ball,percent_most_back,percent_most_forward,percent_closest_to_ball,percent_farthest_from_ball,inflicted,taken,player_name
2023-01-12.18.08 TKAY Private Loss,4,8,1,1,1,1,362,False,25,407,416.4412,54.43,2283,584,1563,374,720,210,20,4,68,20,504,44,305,20.48,6.2262487,54.79,16.65704,109.87,56.48,45.38,117.8,33.341423,17.13956,13.771128,35.74788,1522,485296,50.16,130.07,157.24,205.75,113.59,18.14,7.34,86,0.09,66.17391,46.593773,38.542686,14.8635435,60.96658,33.658295,5.3751335,2923,2994,2828,3759,145.7,110.29,81.49,197.14,140.33,236.35,101.13,90,120.6,,108.2,113.8,43.172928,24.146616,32.680454,58.417046,41.582954,70.033775,29.966219,27.361444,36.664337,32.89454,34.597027,2,2,M0nkey M00n
2023-01-12.19.02 fades Private Loss,6,8,3,5,1,2,733,True,50,400,445.7971,46.21,2954,928,2026,588,928,340,23,7,85,32,311,132,385,51.69,13.001158,36.56,9.195635,152.8,116.78,50.35,92.04,37.090076,28.346722,12.221763,22.34143,1629,625699,69.49,187.89,172.01,252.49,154.01,22.89,8.33,105,0.08,70.82609,40.059155,43.757423,16.183424,58.80202,35.867157,5.330818,3019,3123,2951,4027,175.97,141.63,111.79,248.48,180.91,271.94,157.45,103.6,164.1,1,138.1,114.2,40.98139,26.034607,32.984,57.868137,42.13186,63.3317,36.668297,26.05765,41.27471,34.73515,28.72378,2,1,M0nkey M00n
2023-01-12.18.02 TKAY Private Loss,6,8,3,5,1,2,733,True,50,401,446.58334,46.21,2954,928,2026,588,928,340,23,7,85,32,311,132,385,51.5,12.976214,36.48,9.191695,152.57,116.6,50.14,91.93,37.099995,28.353273,12.192394,22.354343,1628,625324,69.07,187.97,171.54,251.95,153.72,22.92,8.17,106,0.08,70.78261,40.025196,43.858788,16.11601,58.785786,35.866447,5.3477683,3023,3116,2965,4025,175.58,141.62,111.39,248.12,180.46,271.58,157,104.2,163.9,1,138.4,114.5,40.966892,25.989874,33.043236,57.893505,42.10649,63.367397,36.632603,26.254787,41.297115,34.871998,28.850029,2,1,M0nkey M00n
2023-01-12.18.53 fades Private Loss,3,10,0,3,1,5,468,False,0,420,479.92062,55.09,2902,446,2322,316,580,130,29,4,52,11,503,83,377,38.03,10.482071,65.33,18.00667,120.14,80.37,76.86,102.77,31.604147,21.142214,20.218868,27.034779,1493,527196,51.92,146.48,193.42,236.74,126.81,28.26,7.9,90,0.09,64.91304,49.364502,37.384514,13.250982,60.422142,32.365177,7.21268,2946,2818,3145,3934,179.63,134.19,77.99,241.3,150.51,308.12,83.69,142.8,105,1,113.7,111.8,45.846203,19.905056,34.248745,61.58597,38.414024,78.64016,21.359842,39.359444,28.940767,31.338717,30.815027,1,0,M0nkey M00n
2023-01-12.17.53 TKAY Private Loss,3,10,0,3,1,5,468,False,0,420,480.4768,55.09,2902,446,2322,316,580,130,29,4,52,11,503,83,377,38.08,10.508017,65.16,17.980629,119.99,80.09,76.78,102.8,31.604595,21.09519,20.22336,27.07686,1492,527196,51.78,146.06,193.38,236.21,126.75,28.25,7.54,90,0.08,64.86957,49.42999,37.33449,13.235519,60.379333,32.399475,7.221185,2945,2817,3139,3935,179.4,133.76,78.06,241.06,150.15,307.64,83.58,142.8,105.7,1,113.8,112.7,45.856556,19.952969,34.19048,61.61908,38.38092,78.63606,21.363937,39.40506,29.16747,31.402632,31.09909,1,0,M0nkey M00n
2023-01-12.18.45 fades Private Loss,4,9,2,3,3,1,659,True,50,390,435.0355,47.68,2543,408,1985,186,558,222,26,3,52,20,632,113,393,35.63,10.158812,68.56,19.5478,133.75,63.13,65.89,103.23,36.543713,17.248632,18.002731,28.204916,1591,541360,66.25,146.17,161.32,227.42,138.69,7.62,7.77,94,0.08,69.17391,43.1637,39.110077,17.726227,60.85142,37.10968,2.0389051,2706,2437,2934,3699,184.95,111.16,77.62,247.84,125.89,272.73,101,118.6,118.7,,125.2,110.1,49.4876,20.769005,29.743397,66.315254,33.684746,72.97514,27.024857,33.815186,33.843697,35.69697,31.391668,2,1,M0nkey M00n
2023-01-12.17.45 TKAY Private Loss,4,9,2,3,3,1,659,True,50,393,437.6999,47.71,2555,420,1985,186,570,234,26,3,53,21,632,113,387,35.64,10.1758795,68.35,19.51519,133.47,64.13,64.99,102.95,36.513107,17.543907,17.779177,28.163815,1592,541490,65.93,146.55,160.77,226.92,138.76,7.57,8.07,95,0.08,69.21739,43.073006,39.26323,17.663765,60.79571,37.17615,2.0281312,2701,2420,2938,3700,184.41,111.34,77.5,247.51,125.73,271.98,101.26,118.6,118,,123.5,110.3,49.406563,20.763563,29.829872,66.3139,33.6861,72.87,27.129995,33.862495,33.691185,35.261536,31.492691,2,1,M0nkey M00n
2023-01-12.18.38 fades Private Loss,6,6,1,2,1,1,378,False,16.666666,436,481.38028,51.98,2818,683,2226,438,592,245,27,5,54,21,511,61,391,36.2,10.306343,65.79,18.730783,118.28,62.16,56.24,128.7,32.371777,17.012424,15.392194,35.223602,1559,535712,54.38,153.7,166.16,202.95,141.64,29.65,6.4,90,0.07,67.78261,44.39932,41.069904,14.530783,54.229908,37.84737,7.922724,2765,2504,3057,3928,147.93,138.6,87.72,222.65,151.59,285.28,88.96,106.2,111.4,,133,101.6,39.52705,23.438877,37.03407,59.493908,40.506092,76.22916,23.770844,30.235737,31.716206,37.86585,28.926092,1,0,M0nkey M00n
2023-01-12.17.38 TKAY Private Loss,6,6,1,2,1,1,378,False,16.666666,437,481.98404,51.98,2818,683,2226,438,592,245,27,5,54,21,511,61,391,36.02,10.26796,65.91,18.788485,118.06,62.15,56.15,128.57,32.35141,17.030664,15.386513,35.23142,1555,535928,54.46,153.46,165.94,202.91,141.27,29.67,6.24,89,0.07,67.608696,44.385597,41.04745,14.56695,54.27578,37.787884,7.936338,2766,2494,3071,3928,147.73,138.49,87.65,222.47,151.39,285.35,88.52,107,111.7,,133,102.1,39.513737,23.443977,37.04229,59.506233,40.49377,76.32332,23.67668,30.50171,31.841507,37.91334,29.104904,1,0,M0nkey M00n
2023-01-11.21.58 Caleb Private Loss,7,10,4,3,3,1,840,True,57.142857,417,448.27686,50.29,2634,504,1630,176,1004,328,21,3,87,30,517,141,350,21.26,6.0303507,41.07,11.649412,111.78,78.89,90.25,86.68,30.408054,21.460829,24.551144,23.579979,1663,570655,73.36,158.55,140.84,228.36,128.21,16.19,7.01,80,0.09,72.304344,37.78404,42.53521,19.680752,61.261936,34.394787,4.343277,2843,2697,2954,3817,158.39,124.12,90.24,223.88,148.88,267.57,105.19,108.2,131.3,1,115.3,101.9,42.492287,24.209255,33.29846,60.06009,39.939907,71.78077,28.219229,30.690683,37.242947,32.704582,28.903702,1,1,M0nkey M00n
2023-01-11.19.28 Cobbo Private Loss,7,10,4,3,3,1,840,True,57.142857,417,447.90842,50.26,2634,515,1630,176,1004,339,21,3,88,31,517,141,366,21.24,6.019726,41.2,11.676681,111.83,78.99,90.3,86.91,30.38611,21.462925,24.536043,23.614923,1664,570485,73.58,158.62,140.96,228.48,128.36,16.33,7.23,81,0.09,72.347824,37.77468,42.507233,19.718082,61.22679,34.397194,4.376022,2838,2687,2953,3821,158.66,123.86,90.65,223.99,149.17,267.88,105.28,108.7,129.8,1,114.4,103.5,42.51682,24.29188,33.191307,60.02519,39.974808,71.7869,28.213099,30.807165,36.787212,32.422626,29.333408,1,1,M0nkey M00n
2023-01-11.19.20 Cobbo Private Loss,4,7,1,2,0,0,216,False,25,390,413.23892,50.12,2520,337,1679,150,841,187,20,2,79,17,368,58,369,31.83,8.699335,40.15,10.973244,115.88,82.2,72.6,99.7,31.286787,22.193422,19.60149,26.9183,1547,557039,46.72,164.3,172.39,226.38,124.04,32.99,5.35,69,0.08,67.26087,44.96231,42.8523,12.185389,59.043842,32.35179,8.604366,3072,2879,3099,3860,173.93,142.46,67.03,252.67,130.74,277.84,105.57,142.5,99.7,2,119.7,116.3,45.36279,17.482136,37.155083,65.900734,34.09927,72.46551,27.534492,38.94613,27.248625,32.71475,31.785507,2,0,M0nkey M00n
2023-01-11.21.50 Caleb Private Loss,4,7,1,2,0,0,216,False,25,392,415.5489,50.05,2530,337,1689,150,841,187,20,2,79,17,358,58,369,31.76,8.694224,40.3,11.032029,115.45,83.88,72.41,98.22,31.206078,22.672722,19.572388,26.548817,1544,556753,46.86,163.36,172.56,225.98,123.93,32.88,5.34,68,0.08,67.13043,45.08073,42.677258,12.24202,59.034977,32.375454,8.589566,3068,2850,3117,3858,173.52,142.31,66.96,252.5,130.28,277.5,105.29,142.6,100,1,119.7,116,45.330338,17.49262,37.17704,65.96478,34.035217,72.49406,27.505943,39.03641,27.374762,32.76759,31.754723,2,0,M0nkey M00n
2023-01-11.21.43 Caleb Private Loss,3,6,0,0,1,0,183,False,0,351,370.00476,49.67,1949,598,1126,374,823,224,14,4,74,20,303,29,196,32.76,10.365448,32.62,10.321152,104.81,64.81,65.74,82.53,32.970528,20.387556,20.68011,25.961811,1534,477477,43.18,130.34,145.33,186.15,103.57,29.12,6.06,69,0.09,66.695656,45.57943,40.87816,13.542419,58.383514,32.48338,9.133107,2975,3316,2781,4067,123.29,151.77,43.78,190.35,128.5,236.04,82.8,107.8,111.8,,120.6,105.2,38.668293,13.731024,47.600674,59.698917,40.301083,74.03086,25.96914,34.10853,35.37415,38.15852,33.285873,0,1,M0nkey M00n
2023-01-11.19.13 Cobbo Private Loss,3,6,0,0,1,0,183,False,0,351,369.80582,49.67,1949,598,1126,374,823,224,14,4,74,20,303,29,196,32.95,10.419961,32.76,10.359876,104.75,64.82,65.75,82.79,32.92886,20.376598,20.66895,26.025587,1530,477572,43.17,130.57,145.43,186.63,103.51,29.05,6.01,67,0.09,66.521736,45.56506,40.909237,13.525708,58.469875,32.42896,9.101162,2985,3333,2781,4061,123.36,151.99,43.83,190.7,128.47,236.03,83.15,106.6,111.4,,120.2,102.9,38.64904,13.732063,47.618904,59.748726,40.251278,73.94887,26.051132,33.71071,35.228638,38.01151,32.540638,0,1,M0nkey M00n
2023-01-11.21.35 Caleb Private Loss,6,4,4,1,1,1,765,True,66.666664,410,438.20224,55.17,2522,914,1902,678,620,236,23,8,59,22,454,132,348,30.77,8.910576,60.92,17.641607,107.66,51.77,80.79,115.2,30.290924,14.565866,22.730854,32.412357,1540,514069,56.06,136.03,169.37,218.76,122.31,20.38,5.63,67,0.08,66.95652,46.857193,37.633488,15.509324,60.522892,33.838703,5.6384006,2629,2306,3030,3608,179.36,95.56,86.53,227.25,134.21,273.99,87.47,107.2,119,1,135.3,91.7,49.622353,23.939686,26.437958,62.87002,37.129974,75.80092,24.199081,31.043669,34.46079,39.18105,26.555079,1,1,M0nkey M00n
2023-01-11.19.05 Cobbo Private Loss,6,4,4,1,1,1,765,True,66.666664,413,441.7231,55.63,2543,914,1902,678,641,236,23,8,60,22,454,132,347,30.95,8.960106,60.1,17.399107,107.3,51.8,83.19,113.41,30.165869,14.562834,23.387686,31.883608,1539,514274,55.98,136.23,169.58,218.49,122.88,20.4,5.88,68,0.09,66.91304,46.872494,37.654438,15.473064,60.39473,33.96633,5.6389422,2636,2313,3043,3614,179.54,95.88,86.36,227.17,134.61,274.5,87.28,107.8,117.2,1,131.8,91.8,49.626846,23.870861,26.502295,62.792305,37.207695,75.87484,24.125158,31.208384,33.929707,38.156445,26.576342,1,1,M0nkey M00n
2023-01-11.21.27 Caleb Private Win,4,10,1,3,2,1,444,False,25,418,454.2195,46.86,2597,560,1852,382,745,178,22,4,66,15,284,17,332,37.1,10.81475,58.81,17.143274,114.89,65.63,67.97,93.42,33.602413,19.19511,19.879501,27.322983,1591,523627,44.13,163.26,145.5,210.46,114.38,28.05,7.47,81,0.09,69.17391,41.230976,46.263702,12.505313,59.638985,32.41237,7.9486527,3055,2848,3239,3897,176.3,116.84,59.75,236.08,116.81,242.47,110.42,105.2,132.1,2,103.6,121.8,49.958908,16.931622,33.109467,66.89903,33.100964,68.70979,31.290203,30.666084,38.50751,30.19968,35.50503,1,2,M0nkey M00n
2023-01-11.18.57 Cobbo Private Win,4,10,1,3,2,1,444,False,25,418,453.9945,46.86,2597,560,1852,382,745,178,22,4,66,15,284,17,344,37.41,10.899714,58.66,17.091078,114.96,65.72,67.92,93.51,33.60323,19.210196,19.853264,27.333315,1585,523665,44.29,163.23,145.52,210.69,114.28,28.06,7.4,82,0.09,68.91304,41.219124,46.235554,12.5453205,59.68048,32.371185,7.9483333,3063,2849,3252,3897,176.24,116.93,59.88,235.88,117.16,242.45,110.59,104.6,138.2,1,108.3,121.6,49.919273,16.96077,33.119953,66.81396,33.18604,68.67494,31.325064,30.47608,40.26572,31.554106,35.429173,1,2,M0nkey M00n
2023-01-11.21.20 Caleb Private Win,4,7,1,4,1,1,401,False,25,368,378.3253,45.77,2503,428,1650,198,853,230,20,3,76,22,362,111,265,60.63,15.27358,43.76,11.023781,173.93,67.52,63.74,96.18,43.334084,16.822384,15.88061,23.962929,1555,597164,53.26,172.49,188.19,238.48,146.78,28.68,6.67,86,0.08,67.608696,45.46311,41.67029,12.866599,57.612213,35.459244,6.92854,3083,3006,3158,3755,204.24,143.39,66.31,283.47,130.47,310.84,103.1,153.8,109.3,1,118.9,141.5,49.340485,16.01923,34.640285,68.48094,31.51906,75.09301,24.906992,38.744457,27.534262,29.95264,35.64591,0,2,M0nkey M00n
2023-01-11.18.50 Cobbo Private Win,4,7,1,4,1,1,401,False,25,368,378.15378,45.95,2503,428,1650,198,853,230,20,3,76,22,362,111,265,60.54,15.243994,43.81,11.031374,174,67.44,63.89,96.1,43.34504,16.79994,15.915601,23.939415,1554,596958,52.91,173.17,188.22,238.57,147.24,28.5,6.5,86,0.08,67.565216,45.430843,41.79821,12.770938,57.582485,35.53861,6.878907,3080,2983,3185,3752,204.78,143.37,66.15,283.96,130.34,310.56,103.74,153.1,108.3,1,118.3,138.2,49.42795,15.966691,34.60536,68.53971,31.460295,74.960175,25.039827,38.550636,27.26998,29.787983,34.79881,0,2,M0nkey M00n
2023-01-11.21.12 Caleb Private Loss,3,10,1,2,0,0,238,False,33.333332,348,375.11203,42.67,2093,406,1298,197,795,209,14,2,71,19,142,19,212,53.99,16.127008,27.27,8.145648,156.11,64.74,49.19,63.97,46.73812,19.382652,14.727103,19.15212,1538,501110,51.56,142.55,152.22,204.74,124.04,17.55,5.16,77,0.07,66.86957,43.952297,41.160164,14.887534,59.11703,35.81555,5.067421,2992,2981,2993,3709,182.91,109.16,54.26,245.6,100.73,250.65,95.68,116.4,119.4,1,113.2,119.4,52.81379,15.667137,31.51907,70.915016,29.084976,72.37318,27.626831,34.769104,35.665215,33.81325,35.665215,1,2,M0nkey M00n
2023-01-11.18.42 Cobbo Private Loss,3,10,1,2,0,0,238,False,33.333332,347,374.3414,42,2096,406,1298,197,798,209,14,2,72,19,142,19,186,54.17,16.124422,27.51,8.188718,156.13,65.9,49.04,64.04,46.590668,19.665184,14.634,19.110142,1542,501305,50.58,143.09,153.76,205.28,124.45,17.7,5.32,79,0.07,67.04348,44.256393,41.185276,14.558329,59.085285,35.820168,5.094552,2991,2989,2983,3698,184.38,108.56,54.49,245.83,101.6,252.29,95.14,114.8,117.7,1,112.9,116.2,53.069683,15.683735,31.246582,70.7567,29.243301,72.616066,27.383934,34.17175,35.034973,33.60619,34.588478,1,2,M0nkey M00n
EU AE TL vs BDS G3 2022-11-11.19.48,3,12,1,3,3,0,489,False,33.333332,333,325.9995,43.73,1783,365,1022,200,761,165,11,2,69,16,87,0,181,45.73,13.935275,12.02,3.6628473,124.23,77.53,58.69,70.56,37.530586,23.422253,17.730581,21.316576,1455,470916,28.41,140.57,173.68,196.48,124.39,21.78,4.1,33,0.12,63.260868,50.68581,41.023174,8.291018,57.341312,36.30235,6.3563404,2640,2429,2779,3251,172.61,109.34,60.71,231.39,111.27,227.39,115.27,113.6,92.3,,98.6,117,50.373547,17.71727,31.909182,67.52758,32.47242,66.36024,33.63976,34.61726,28.126524,30.046318,35.65334,1,0,M0nkey M00n
EU AE TL vs BDS G2 2022-11-11.19.41,1,7,0,4,0,0,142,False,0,378,368.73892,47.46,2076,409,1170,181,906,228,13,2,66,19,142,18,249,33.89,10.032564,17.31,5.1243343,127.65,78.73,64.61,74.35,36.963573,22.797825,18.709099,21.529507,1473,489217,37.01,135.83,182.38,196.28,131.58,27.36,3.47,29,0.12,64.04348,51.342827,38.23827,10.418894,55.2559,37.041836,7.7022696,2545,2542,2607,3186,174.02,122.8,58.39,238.84,116.38,250.95,104.27,114.8,85.6,2,114,101.3,48.990734,16.438162,34.5711,67.237206,32.762794,70.64636,29.35364,33.984608,25.340439,33.74778,29.98816,1,0,M0nkey M00n
EU AE TL vs BDS G1 2022-11-11.19.33,1,6,0,1,0,0,174,False,0,349,352.71768,48.09,2135,297,1298,57,837,240,15,1,75,22,224,61,136,25.24,6.949722,21.73,5.983259,124.1,113.45,63.52,59.54,34.41391,31.460583,17.614597,16.510912,1472,528713,47.05,138.57,180.43,208.05,140.02,17.97,5.14,46,0.11,64,49.29108,37.855488,12.8534355,56.83805,38.252647,4.909299,2603,2441,2720,3261,189.17,117.97,58.9,242.6,123.44,268.57,97.48,130.8,109.2,1,109.7,133.3,51.68014,16.091137,32.228718,66.27691,33.72309,73.36975,26.63024,36.0152,30.067736,30.205408,36.703564,2,1,M0nkey M00n
EU AB BDS vs TUN G5 2022-11-11.19.13,2,8,0,1,3,1,395,False,0,390,388.4035,52.92,2119,490,1401,294,718,196,17,3,67,18,340,17,201,21.2,6.4764466,40.17,12.271644,86.55,72.68,79.96,86.6,26.566193,22.30885,24.543417,26.58154,1484,470691,43.26,127.8,164.89,189.81,124.61,21.53,5.22,42,0.12,64.521736,49.081707,38.041374,12.876916,56.49948,37.09183,6.408692,2650,2678,2604,3382,164.3,103.4,68.25,223.93,112.02,273.23,62.72,123.6,93.5,,113.4,95.6,48.906086,20.315523,30.778389,66.655754,33.34425,81.33056,18.669445,37.758907,28.563574,34.64288,29.205109,0,2,M0nkey M00n
EU AB BDS vs TUN G10 2022-11-11.19.13,2,8,0,1,3,1,395,False,0,390,388.451,52.92,2119,490,1401,294,718,196,17,3,67,18,340,17,201,21.23,6.486404,39.91,12.1937065,86.74,72.81,79.73,86.53,26.622879,22.34738,24.47132,26.558424,1481,470844,43.19,127.9,164.63,189.84,124.27,21.61,5.32,42,0.13,64.391304,49.037888,38.097225,12.864887,56.547127,37.01597,6.436912,2634,2666,2580,3375,163.82,103.75,68.15,223.7,112.01,273.05,62.67,121.2,92.4,,112.2,93.9,48.79662,20.299654,30.903728,66.634895,33.36511,81.33266,18.667343,37.03025,28.230982,34.28048,28.689278,0,2,M0nkey M00n
EU AB BDS vs TUN G4 2022-11-11.19.05,4,6,1,3,1,0,338,False,25,403,423.19888,54.25,2380,349,1671,129,709,220,22,2,57,19,448,70,254,39.34,11.658714,34.18,10.129509,96.8,66.32,66.66,105.1,28.905876,19.80411,19.90564,31.384377,1547,497482,53.88,134.65,154.25,202.55,108.39,31.84,5.01,38,0.13,67.26087,44.99971,39.281754,15.718536,59.090378,31.620865,9.288756,2814,2760,2849,3673,139.27,123.48,80.02,199,143.78,216.76,126.02,119.9,117.6,1,103.3,129.2,40.63074,23.345097,36.024155,58.05473,41.94527,63.235893,36.764107,35.533295,34.851673,30.613758,38.289425,2,0,M0nkey M00n
EU AB BDS vs TUN G9 2022-11-11.19.05,4,6,1,3,1,0,338,False,25,403,423.09857,54.14,2380,349,1671,129,709,220,22,2,57,19,448,70,254,39.43,11.682616,34.07,10.094516,97.03,66.18,66.52,105.28,28.963316,19.754635,19.856123,31.42593,1545,497527,53.65,135.19,153.71,202.82,108.01,31.73,4.95,38,0.13,67.17391,44.87228,39.46577,15.661946,59.20714,31.530241,9.26261,2833,2768,2879,3686,139.05,123.34,80.17,198.83,143.72,216.61,125.95,119,117,1,102.7,128.7,40.59143,23.4032,36.00537,58.044083,41.95592,63.23272,36.76728,35.258213,34.665638,30.428728,38.132202,2,0,M0nkey M00n
EU AB BDS vs TUN G3 2022-11-11.18.57,10,4,0,1,2,1,463,True,0,428,435.19217,54.92,2695,785,1850,506,845,279,22,7,78,26,381,204,282,37.17,10.003767,30.74,8.273227,115.75,65.05,78.32,121.25,30.430897,17.10177,20.590479,31.876858,1610,593024,71.61,159.49,152.23,204.17,141.74,37.42,3.91,34,0.11,70,39.712517,41.60645,18.68103,53.2622,36.975975,9.761823,2726,2658,2813,3386,133.69,132.43,117.22,199.88,183.45,312.25,71.08,150.7,109.9,,124.2,124.3,34.875046,30.578598,34.546352,52.14306,47.856937,81.45723,18.542768,40.558727,29.577995,33.426636,33.45355,3,0,M0nkey M00n
EU AB BDS vs TUN G8 2022-11-11.18.57,10,4,0,1,2,1,463,True,0,428,435.40308,54.92,2695,785,1850,506,845,279,22,7,78,26,381,204,272,37.09,9.987075,30.77,8.285315,115.81,64.94,78.29,121.12,30.46349,17.082281,20.59396,31.86027,1608,593082,71.71,159.56,151.91,204.13,141.59,37.46,3.64,33,0.11,69.91304,39.644554,41.641006,18.714443,53.272614,36.9513,9.776085,2720,2665,2789,3375,133.63,132.48,117.07,199.79,183.39,312.33,70.85,148,107.3,,121.8,121.5,34.87395,30.552221,34.57383,52.139988,47.860016,81.509995,18.490005,39.851364,28.892239,32.796597,32.715816,3,0,M0nkey M00n
EU AB BDS vs TUN G2 2022-11-11.18.49,2,5,0,3,2,2,382,False,0,400,421.563,49.66,2565,680,1766,462,799,218,19,5,66,19,150,37,245,28.01,7.672501,33.4,9.148931,100.61,82.35,88.51,98.77,27.174267,22.24233,23.906116,26.677292,1546,545390,37.65,170.81,168.29,215.05,129.68,32.01,6.33,49,0.13,67.21739,44.66888,45.33776,9.993365,57.08181,34.421616,8.496575,2486,2306,2724,3146,176.8,141.64,58.3,247.96,128.78,296.62,80.12,137,77.2,1,119.1,105.4,46.928917,15.474864,37.596222,65.817276,34.182728,78.733345,21.266659,37.52705,21.146627,32.62388,28.871174,0,1,M0nkey M00n
EU AB BDS vs TUN G7 2022-11-11.18.49,2,5,0,3,2,2,382,False,0,400,421.80823,49.81,2566,680,1766,462,800,218,19,5,66,19,150,37,254,28,7.6712327,33.41,9.153424,100.64,82.28,88.67,98.66,27.181635,22.222822,23.948683,26.64686,1541,545410,37.48,171.26,167.67,214.79,129.54,32.08,6.65,51,0.13,67,44.544514,45.49826,9.957228,57.062782,34.4146,8.522623,2489,2319,2716,3150,176.41,141.91,58.09,247.82,128.59,296.32,80.09,135.1,80.1,1,121.8,103,46.866447,15.43264,37.700912,65.83778,34.162216,78.72267,21.277328,37.013702,21.945206,33.36986,28.219177,0,1,M0nkey M00n
EU AB BDS vs TUN G1 2022-11-11.18.41,5,6,2,2,2,1,588,True,40,396,421.0932,46.14,2369,320,1656,73,713,247,19,1,63,21,162,26,283,51.58,15.2807,20.21,5.987261,116.97,113.66,34.51,86.49,33.26508,32.32375,9.814293,24.596876,1577,523493,57.16,147.09,150.88,191.24,146.12,17.78,6.07,45,0.13,68.565216,42.48585,41.418636,16.095514,53.84919,41.14434,5.006477,2796,2803,2786,3336,172.84,111.41,70.88,234.08,121.06,282.67,72.46,123.5,84.2,1,113.1,112.4,48.669502,19.958887,31.37161,65.91203,34.087963,79.59621,20.403795,36.587173,24.944454,33.50615,33.29877,0,0,M0nkey M00n
EU AB BDS vs TUN G6 2022-11-11.18.41,5,6,2,2,2,1,588,True,40,396,421.0932,46.14,2369,320,1656,73,713,247,19,1,63,21,162,26,283,51.78,15.339951,20.24,5.996149,116.79,113.73,34.5,86.55,33.21956,32.349174,9.813124,24.618141,1573,523495,57.05,147.16,150.6,191.41,145.64,17.77,6.19,45,0.14,68.391304,42.445255,41.47572,16.07903,53.945667,41.046165,5.0081735,2798,2799,2792,3339,172.58,111.23,71.01,233.85,120.97,282.66,72.16,122.1,81.8,1,110.6,110.4,48.638744,20.012964,31.34829,65.906654,34.09334,79.662926,20.337072,36.17242,24.23345,32.76552,32.70627,0,0,M0nkey M00n
EU T BDS vs WRSV G4 2022-11-11.18.09,4,6,0,3,2,0,306,False,0,382,395.7133,55.74,2117,467,1322,200,795,267,14,2,65,16,105,9,149,35.43,11.037727,21.12,6.579644,134.97,45.26,48.26,98.98,41.21599,13.821114,14.737227,30.22567,1534,485624,47.15,130.56,154.9,174.16,139.99,18.46,4.67,38,0.12,66.695656,46.57106,39.25318,14.175762,52.36162,42.088333,5.550043,2741,2368,3076,3541,150.36,106.46,75.79,208.09,124.52,226.21,106.39,126.2,82.3,2,116.6,113.2,45.2061,22.786448,32.007458,62.562763,37.43724,68.01263,31.987371,39.31587,25.63943,36.32512,35.265896,0,0,M0nkey M00n
EU T BDS vs WRSV G3 2022-11-11.18.02,2,6,1,0,1,2,362,False,50,411,428.71567,52.56,2335,571,1694,406,641,165,19,5,63,18,245,94,240,38.27,11.710884,30.35,9.28731,113.96,62.78,50.89,109.19,33.834095,18.639036,15.10896,32.417908,1541,494351,51.62,132.29,155.99,194.38,115.15,30.37,5.52,43,0.13,67,45.892914,38.92027,15.18682,57.18741,33.877613,8.934981,2604,2640,2543,3424,145.03,109.19,85.69,202.68,137.22,260.67,79.23,127.7,93,,107.7,97.9,42.667175,25.209614,32.123207,59.629303,40.370697,76.6902,23.309797,39.077084,28.458643,32.956944,29.958076,0,1,M0nkey M00n
EU T BDS vs WRSV G2 2022-11-11.17.55,1,11,0,4,4,1,547,False,0,431,455.69846,46.97,2581,329,1859,200,722,129,20,2,51,12,154,8,244,55.84,16.431746,21.83,6.4238005,148.09,56.67,45.12,91.9,43.32904,16.580841,13.201475,26.888641,1608,527824,60.44,151.2,139.63,158.22,160.2,32.86,3.63,31,0.12,69.91304,39.750046,43.04381,17.206137,45.040997,45.60465,9.3543625,2584,2131,2877,3454,171.35,105.26,74.67,220.67,130.61,248.08,103.19,142.5,112.9,1,127.7,110.5,48.77875,21.256548,29.9647,62.818832,37.181168,70.62373,29.37626,41.93273,33.222496,37.577614,32.51626,0,2,M0nkey M00n
