Unnamed: 0,shots,goals,saves,assists,score,mvp,bcpm,avg_amount,amount_collected,amount_stolen,amount_collected_big,amount_collected_small,amount_overfill,amount_used_while_supersonic,percent_zero_boost,percent_full_boost,percent_boost_0_25,percent_boost_25_50,percent_boost_50_75,percent_boost_75_100,count_powerslide,avg_powerslide_duration,avg_speed_percentage,percent_slow_speed,percent_boost_speed,percent_supersonic_speed,percent_ground,percent_low_air,percent_high_air,avg_distance_to_ball,avg_distance_to_ball_possession,avg_distance_to_ball_no_possession,avg_distance_to_mates,goals_against_while_last_defender,percent_defensive_third,percent_offensive_third,percent_neutral_third,percent_defensive_half,percent_offensive_half,percent_behind_ball,percent_infront_ball,percent_most_back,percent_most_forward,percent_closest_to_ball,percent_farthest_from_ball,inflicted,taken,player_name
2023-02-28.00.17 Kelvin Enjoyer Ranked Standard Loss,4,1,1,0,404,0,361.83542,52.92,2965,616,2020,945,727,423,14.430703,13.60493,33.361454,20.974934,20.663614,25.0,87,0.12,64.478264,48.00143,38.99595,13.002622,53.502464,39.309837,7.187699,2841,2735,2928,3540,,50.361572,21.926653,27.71178,65.05215,34.94785,73.51544,26.484552,32.33942,33.96656,33.27503,31.26144,2,0,edencroww
2023-02-27.23.47 Bumpelmuse Ranked Standard Loss,3,2,1,1,445,1,417.32285,50.81,2332,472,1703,629,134,383,10.901337,15.273801,39.41861,15.678091,14.434777,30.468521,64,0.12,66.0,47.46121,34.962994,17.57579,52.10161,39.8377,8.060691,2731,2605,2859,3926,,50.59432,16.880964,32.524715,68.5373,31.462696,72.35191,27.648085,27.79766,36.14889,44.917683,25.948462,2,0,edencroww
2023-02-27.23.41 Kelvin Enjoyer Ranked Standard Loss,1,0,0,0,146,0,355.10318,45.01,1913,326,1365,548,365,198,19.33917,7.4498034,46.384056,17.377258,17.31326,18.925426,69,0.14,62.739132,51.69836,37.198227,11.103409,55.80169,39.63231,4.566004,2529,2394,2681,3424,1.0,49.582565,22.125443,28.29199,64.109825,35.89017,78.28145,21.718555,37.279953,33.1343,34.21712,27.348946,0,1,edencroww
2023-02-26.00.32 Maverick Ranked Standard Loss,4,1,0,0,364,1,414.39227,43.05,2194,406,1621,573,85,138,16.869707,7.8446183,37.562187,21.585114,15.637004,25.215693,62,0.14,66.521736,46.362568,40.46294,13.174485,59.690327,34.536575,5.7730937,3011,2457,3739,4001,,39.033283,26.050005,34.91671,56.25985,43.740147,83.48425,16.515745,37.963924,27.418388,38.05836,31.038498,2,1,edencroww
2023-02-25.22.51 kiwi Ranked Standard Loss,2,0,0,2,232,0,459.66986,52.47,2460,507,1742,718,364,356,7.3559637,8.769854,28.786541,21.91464,25.297356,24.00146,68,0.13,63.826088,50.323044,32.656185,17.020763,57.454094,37.199867,5.346035,2957,2780,3111,3625,,54.004265,14.766955,31.228775,70.517166,29.482824,77.90432,22.095678,39.426968,26.564932,31.29866,34.226097,0,0,edencroww
2023-02-25.16.51 Slimey Ranked Standard Loss,2,0,3,0,336,0,407.0063,47.92,2161,841,1560,601,147,330,8.905421,10.603635,31.820185,21.725739,19.007483,27.446602,49,0.14,64.434784,48.00667,37.91655,14.076783,59.259144,35.75369,4.9871716,2751,2403,3034,3759,1.0,51.545864,20.465042,27.989098,68.29918,31.700827,64.64721,35.352787,25.33195,40.242332,38.170574,28.69071,0,3,edencroww
2023-02-25.16.37 wwilcoz (New Fingers) Ranked Standard Loss,2,0,0,0,142,0,494.22018,53.46,2551,698,2005,546,411,503,16.00904,8.9732,29.408539,20.41086,18.440401,31.740194,70,0.12,73.608696,32.52139,42.23598,25.242624,55.084126,39.070335,5.8455453,2924,3007,2829,3830,,38.60299,24.699913,36.6971,57.74167,42.258335,71.01491,28.98509,29.932192,41.20116,39.651276,32.579914,1,0,edencroww
2023-02-25.16.37 Slimey Ranked Standard Loss,2,0,0,0,142,0,494.33194,53.46,2551,698,2005,546,411,511,16.00943,8.949391,29.413662,20.405727,18.419016,31.761595,70,0.11,73.91304,32.56816,42.337654,25.094183,55.028416,39.125854,5.8457313,2934,3034,2821,3833,,38.618225,24.67914,36.702637,57.738968,42.261032,70.97248,29.027521,29.712883,40.338467,38.30378,32.264317,1,0,edencroww
2023-02-25.16.31 wwilcoz (New Fingers) Ranked Standard Loss,4,3,1,0,479,0,405.71448,47.37,2040,247,1401,639,314,167,15.562332,13.189035,39.524345,13.543903,19.10457,27.827185,62,0.14,64.73913,49.824234,34.40836,15.767407,57.8501,37.608852,4.541057,3317,3445,3254,3894,,61.315186,13.883962,24.80085,74.89599,25.104006,82.07501,17.924984,42.759125,30.428585,30.262852,40.27313,0,5,edencroww
2023-02-25.16.25 wwilcoz (New Fingers) Ranked Standard Win,0,0,0,0,180,0,440.73767,50.94,2585,331,1938,647,468,339,13.176664,9.010826,33.94402,20.968584,15.031066,30.056326,69,0.13,68.91304,41.472694,37.46354,21.063772,58.707462,37.39777,3.8947668,2902,2999,2820,4109,,46.4684,22.988276,30.543322,62.51179,37.488205,67.85816,32.141834,39.129322,35.03737,34.128044,31.684237,2,2,edencroww
