shots,goals,saves,assists,score,mvp,bcpm,avg_amount,amount_collected,amount_stolen,amount_collected_big,amount_collected_small,amount_overfill,amount_used_while_supersonic,percent_zero_boost,percent_full_boost,percent_boost_0_25,percent_boost_25_50,percent_boost_50_75,percent_boost_75_100,count_powerslide,avg_powerslide_duration,avg_speed_percentage,percent_slow_speed,percent_boost_speed,percent_supersonic_speed,percent_ground,percent_low_air,percent_high_air,avg_distance_to_ball,avg_distance_to_ball_possession,avg_distance_to_ball_no_possession,avg_distance_to_mates,percent_defensive_third,percent_offensive_third,percent_neutral_third,percent_defensive_half,percent_offensive_half,percent_behind_ball,percent_infront_ball,percent_most_back,percent_most_forward,percent_closest_to_ball,percent_farthest_from_ball,inflicted,taken,player_rank,numeric_rank
3,0,2,0,332,0,354.6675,43.86,2272,82,1789,483,116,258,21.178062,14.195026,34.061333,21.855867,15.105092,28.97771,25,0.23,60.52174,54.273846,38.691563,7.034596,68.14988,29.157263,2.69286,2789,2502,3047,3495,43.905315,20.772959,35.321724,61.084328,38.91568,73.8331,26.166904,29.477573,32.313457,35.019257,30.362162,1,1,Champion 3 Division 4,72
3,0,2,1,314,0,452.2323,59.41,2897,410,2145,752,577,580,12.699033,6.431471,26.43824,17.742704,22.668148,33.15091,81,0.12,69.0,40.958706,33.720074,25.321222,57.65864,39.061623,3.279731,2702,2730,2652,3605,48.80289,22.883749,28.31336,64.01038,35.98962,75.76012,24.23988,35.72172,32.57363,38.739723,34.030598,1,1,Champion 3 Division 4,72
3,0,3,1,452,1,402.59427,44.51,2214,206,1778,436,330,305,18.953814,9.713299,46.25736,16.15403,14.390844,23.197765,78,0.12,69.13043,40.98085,44.790344,14.2288065,50.702274,46.84863,2.4491,3050,3028,3001,3750,55.175564,18.220713,26.603716,68.58862,31.411371,69.66272,30.337276,38.55013,32.700935,34.064735,38.883503,0,1,Champion 2 Division 4,68
3,1,1,1,334,0,363.31677,57.92,1998,346,1222,776,380,219,8.082798,7.9252033,25.452944,23.67758,20.378744,30.490728,90,0.1,64.04348,48.074936,43.18631,8.738751,64.113754,32.204388,3.6818502,2841,2842,2809,3670,51.332054,16.72518,31.942762,68.78005,31.219942,77.976105,22.0239,40.580673,26.639593,31.27652,33.67075,1,1,Champion 2 Division 4,68
1,0,0,1,220,0,477.29562,55.8,2605,779,1983,622,330,370,7.677039,7.3838825,29.733397,19.292477,27.70372,23.270403,93,0.11,69.304344,37.89605,49.359203,12.744749,60.33997,36.230682,3.4293513,2864,2717,2996,3646,34.91159,33.333332,31.755072,51.45959,48.540405,65.569,34.430992,33.132805,35.545242,34.04892,36.461353,0,1,Champion 3 Division 2,70
4,4,2,0,783,0,313.7255,36.82,1960,485,1519,441,137,389,20.709616,5.6369214,52.241257,24.011381,10.836658,12.910702,96,0.13,61.695652,57.009556,31.402925,11.587515,55.547947,41.558903,2.8931487,2567,2181,2862,3471,64.68217,15.49735,19.820482,77.952736,22.047264,77.72763,22.272371,84.70055,86.11444,85.31412,86.91476,0,5,Diamond 2 Division 3,55
0,0,0,0,44,0,253.15836,70.47,344,23,229,115,88,67,0.0,19.575617,13.091133,6.256158,29.519705,51.133007,5,0.2,60.913044,57.35242,36.51958,6.128002,65.94108,33.550217,0.5086951,2256,1927,2589,3417,69.82962,14.694746,15.475626,78.94239,21.057611,80.22004,19.779959,43.910217,28.210476,33.85257,30.908869,0,0,Diamond 2 Division 3,55
0,0,0,0,26,0,336.31793,42.05,457,61,300,157,0,116,10.769042,12.940022,28.994816,38.219315,7.6685605,25.117313,6,0.13,67.695656,49.679993,36.782997,13.537013,60.86221,38.135487,1.0022943,2548,2233,3052,3328,55.681683,13.766454,30.551867,75.039246,24.960754,65.3665,34.6335,26.37066,34.343185,32.012756,29.314363,0,0,Diamond 2 Division 3,55
4,1,0,0,280,0,357.2872,51.24,1886,409,1260,626,266,156,5.490654,9.999369,22.07905,30.474741,21.94554,25.500668,81,0.07,64.391304,53.626675,39.458447,6.914878,67.62366,29.85571,2.5206342,3221,3157,3255,4049,45.911762,22.136452,31.951784,63.27712,36.722878,61.736237,38.26376,30.87901,37.604195,31.57363,37.85678,1,0,Diamond 2 Division 3,55
1,1,1,0,272,0,371.8742,46.49,1963,558,1211,752,58,230,11.334934,3.6467543,43.010788,25.204443,18.073631,13.711141,32,0.13,61.304348,57.38202,34.589954,8.028024,62.395367,34.514133,3.0905008,3151,2921,3357,3963,47.39476,20.948076,31.657164,64.18173,35.81827,59.495937,40.504063,27.658499,40.666836,30.689568,37.85678,0,2,Diamond 2 Division 3,55
2,0,0,0,132,0,405.7843,56.98,2142,510,1754,388,485,216,8.553296,21.031195,11.757147,30.925154,19.839384,37.478317,17,0.18,60.652172,54.5048,37.016804,8.478391,60.117046,36.638653,3.2442975,2882,3002,2806,3871,57.782112,17.367947,24.84994,71.061554,28.938444,74.51304,25.48696,43.634754,26.679716,41.140438,28.732002,2,1,Diamond 2 Division 3,55
0,0,0,0,10,0,268.2635,56.64,112,0,107,5,92,0,0.0,19.520958,32.634563,11.954674,18.243626,37.16714,1,1.09,47.608696,70.3399,29.123438,0.5366727,63.47048,36.529514,0.0,3456,2907,3685,4178,45.454548,30.851828,23.69363,57.78175,42.218246,49.6063,50.393703,33.932137,34.73054,35.12974,33.532932,0,0,Silver 2 Division 3,19
0,0,0,0,10,0,239.52097,39.61,100,100,100,0,0,0,20.958084,0.0,8.724203,42.026268,0.0,49.24953,1,0.59,48.739132,67.99564,31.569407,0.43494016,51.649147,48.350853,0.0,4196,4351,4691,5489,59.2606,20.297209,20.442188,67.041336,32.958664,80.86263,19.13737,43.912178,32.73453,29.141718,49.1018,0,0,Silver 2 Division 3,19
0,0,0,0,4,0,76.646706,11.37,32,0,0,32,0,0,69.82036,0.0,100.0,0.0,0.0,0.0,0,0.0,61.869564,53.2737,43.971375,2.7549195,57.81753,33.381035,8.801431,2911,1700,4050,3628,39.405872,35.03937,25.554762,49.498928,50.501076,45.00894,54.991055,23.552895,31.936129,34.33134,17.56487,0,0,Silver 2 Division 3,19
2,0,0,0,144,0,284.50253,50.02,1487,406,944,543,459,380,7.1970663,12.044004,29.167747,24.68839,20.598545,25.54531,5,0.23,61.826088,55.69331,35.433167,8.873523,70.10265,28.779432,1.117914,2547,2134,2895,3169,46.049103,26.49872,27.452175,61.783787,38.21621,60.565353,39.434647,21.237244,42.98469,38.29719,26.179846,1,1,Platinum 1 Division 2,38
2,0,0,0,108,0,186.44716,43.52,1057,274,514,543,231,84,15.463766,13.105983,43.476574,22.393314,11.757685,22.372425,43,0.16,56.217392,67.39565,30.095036,2.509309,70.0717,29.650421,0.27788585,2696,2430,2896,2853,49.55538,21.966877,28.47774,63.335743,36.66426,71.80927,28.190737,42.128475,43.304424,38.600616,47.949436,0,0,Gold 2 Division 4,32
1,1,0,1,328,0,207.08511,44.52,1174,363,736,438,163,129,11.433191,7.417316,26.511627,33.18707,23.405003,16.8963,20,0.25,54.260868,64.6492,32.254158,3.096647,59.29161,37.20871,3.4996758,2347,2067,2550,2966,51.54691,25.415607,23.037474,62.685265,37.314735,75.10566,24.894337,50.830517,43.804203,52.418053,41.187714,0,2,Gold 2 Division 4,32
1,1,0,0,134,0,219.10764,49.17,568,24,471,97,128,123,3.8125243,32.75042,19.051533,11.76251,26.280806,42.905155,12,0.27,58.652172,63.737453,30.913027,5.349522,54.679325,43.05463,2.2660334,3049,3052,3062,2957,71.707634,9.496904,18.795454,81.72748,18.272526,75.04959,24.950413,47.061848,33.431915,25.202522,45.58313,0,0,Gold 2 Division 4,32
1,0,1,1,237,0,466.66275,43.49,2648,353,2041,607,264,183,16.974094,11.208365,43.78118,19.590439,14.273697,22.354681,124,0.09,67.04348,45.12484,35.46751,19.407656,45.28137,48.313465,6.405162,2301,1992,2550,3259,56.850586,14.659302,28.490107,73.14228,26.857723,77.14028,22.859722,41.238323,28.079659,45.4679,26.699173,0,1,Champion 3 Division 3,71
2,1,0,0,206,0,365.5055,44.78,2074,344,1471,603,293,596,19.691008,14.547965,46.080967,12.47293,21.23135,20.214748,13,0.15,63.782608,51.81993,36.87617,11.303906,57.29667,40.58102,2.1223083,2931,2874,2959,3595,47.507492,21.251343,31.24117,65.54005,34.459957,58.7311,41.268898,34.600246,47.053986,28.96082,44.469246,1,1,Champion 3 Division 3,71
2,0,0,0,144,0,321.27124,48.66,1823,401,1377,446,212,82,8.438583,12.242261,37.4171,18.996834,13.927679,29.658392,47,0.13,64.434784,54.52608,36.169434,9.304476,53.91063,40.670555,5.418816,2850,2592,3035,3514,57.15287,14.260884,28.586246,74.093796,25.906199,69.42894,30.57105,40.621513,28.54961,26.405453,48.023262,0,0,Champion 3 Division 3,71
1,0,0,0,88,0,349.4701,55.88,1907,505,1238,669,347,245,11.502398,17.574295,28.790407,18.008802,11.762027,41.43876,27,0.19,62.739132,51.898624,39.048203,9.053173,65.66693,32.184513,2.1485574,3227,3100,3216,3840,61.96615,15.133445,22.900406,77.59069,22.40931,67.84764,32.15236,42.637672,31.94771,32.16151,41.53813,1,0,Diamond 2 Division 2,54
