Unnamed: 0,shots,goals,saves,assists,score,mvp,bcpm,avg_amount,amount_collected,amount_stolen,amount_collected_big,amount_collected_small,amount_overfill,amount_used_while_supersonic,percent_zero_boost,percent_full_boost,percent_boost_0_25,percent_boost_25_50,percent_boost_50_75,percent_boost_75_100,count_powerslide,avg_powerslide_duration,avg_speed_percentage,percent_slow_speed,percent_boost_speed,percent_supersonic_speed,percent_ground,percent_low_air,percent_high_air,avg_distance_to_ball,avg_distance_to_ball_possession,avg_distance_to_ball_no_possession,avg_distance_to_mates,percent_defensive_third,percent_offensive_third,percent_neutral_third,percent_defensive_half,percent_offensive_half,percent_behind_ball,percent_infront_ball,percent_most_back,percent_most_forward,percent_closest_to_ball,percent_farthest_from_ball,inflicted,taken,player_name
2023-01-24.10.09 Player Private Loss,2,0,1,0,184,0,379.7803,43.46,2011,355,1133,878,203,202,14.009632,14.258286,37.577465,20.570381,18.957886,22.894272,32,0.15,65.347824,46.397682,40.43025,13.172069,61.234722,34.616684,4.1485853,2436,2361,2511,3237,53.479214,13.646016,32.874775,68.42089,31.57911,72.04013,27.95987,34.906048,25.746752,34.308018,22.882502,1,0,M0nkey M00n
2023-01-24.10.01 Player Private Loss,3,2,1,0,562,0,458.2827,47.37,3205,748,2529,676,306,327,17.21122,11.641763,45.204063,14.975391,17.000685,22.819868,35,0.11,70.82609,40.115177,39.180817,20.704012,43.252617,44.78364,11.963736,2546,2337,2639,3965,55.46279,19.452797,25.084417,70.35247,29.647532,67.373604,32.626396,45.25631,35.532997,54.407665,24.403614,2,1,M0nkey M00n
2023-01-13.20.02 Tonio Private Loss,2,0,0,0,72,0,451.18448,56.47,2514,815,1898,616,588,359,12.401292,11.213808,27.526768,20.002354,15.160607,37.310272,89,0.08,66.82609,46.62652,38.810036,14.563439,62.918995,33.41649,3.6645162,3058,3002,3116,3762,38.3914,20.55914,41.04946,61.912544,38.087456,63.661648,36.338352,29.67217,34.069153,33.620483,32.274467,2,1,M0nkey M00n
2023-01-13.20.02 zenui Private Loss,2,0,0,0,72,0,449.5196,56.31,2503,815,1887,616,499,359,12.40085,11.173636,27.60078,20.093983,15.229342,37.075897,89,0.08,66.78261,46.581318,38.89144,14.52724,62.962856,33.380215,3.6569264,3066,3005,3128,3763,38.37653,20.586124,41.037342,61.91802,38.081978,63.581047,36.418957,31.129337,34.900776,34.302135,32.47628,2,1,M0nkey M00n
2023-01-13.19.55 Tonio Private Win,2,2,3,0,587,0,467.05817,49.58,2903,630,2211,692,612,573,14.083072,14.0643015,37.263508,17.246986,14.76912,30.720388,89,0.08,69.13043,41.353535,43.474747,15.171718,57.96358,37.811558,4.224854,3072,2774,3366,3830,51.26645,15.934746,32.79881,67.74413,32.255863,67.85777,32.142227,30.729628,34.85909,32.204437,38.237743,0,0,M0nkey M00n
2023-01-13.19.55 zenui Private Win,2,2,3,0,587,0,467.30878,49.58,2903,630,2211,692,612,573,14.028921,14.066482,37.229424,17.25474,14.767267,30.748566,88,0.08,69.04348,41.38175,43.469032,15.149218,57.957645,37.761547,4.2808046,3060,2762,3356,3818,51.24583,15.927929,32.826237,67.75579,32.244205,67.79036,32.209644,31.416842,35.54852,32.59732,38.848495,0,0,M0nkey M00n
2023-01-13.19.48 Tonio Private Win,3,2,1,0,412,0,470.68094,51.3,2788,721,2054,734,269,379,12.304446,13.1767025,36.896294,16.575602,15.556958,30.971142,87,0.08,72.13043,37.131237,45.133774,17.734993,58.99535,31.871962,9.132686,3276,3014,3469,4095,44.38517,22.216354,33.39848,61.704037,38.29596,70.3597,29.640291,33.68036,35.284187,34.186832,37.36635,1,1,M0nkey M00n
2023-01-13.19.48 zenui Private Win,3,2,1,0,412,0,470.8399,51.3,2788,721,2054,734,269,420,12.274825,13.138933,36.843117,16.58971,15.531552,31.03562,90,0.08,72.21739,37.131985,45.110733,17.75728,58.903748,31.981077,9.115176,3287,3060,3458,4076,44.415665,22.221046,33.363285,61.67609,38.323906,70.38162,29.618372,34.085793,36.168655,34.930195,37.913757,1,1,M0nkey M00n
2023-01-13.19.40 Tonio Private Loss,7,1,1,0,472,1,426.66666,55.77,3168,1062,2189,979,477,490,9.750842,13.744108,23.621588,19.614313,23.655262,33.108837,111,0.1,65.695656,47.416122,38.751495,13.83238,64.20468,30.749456,5.0458717,3244,2868,3553,4246,44.036697,23.855427,32.107876,61.341576,38.65842,70.32088,29.67912,32.929295,35.084175,29.113356,39.191917,1,2,M0nkey M00n
2023-01-13.19.40 zenui Private Loss,7,1,1,0,472,1,426.95416,55.77,3168,1062,2189,979,477,492,9.739443,13.721922,23.62141,19.639566,23.64388,33.095142,112,0.1,65.565216,47.45131,38.70946,13.839226,64.11428,30.83936,5.04636,3243,2871,3551,4235,44.019787,23.849873,32.13034,61.337112,38.66288,70.347374,29.65263,33.53549,35.96137,29.761904,39.89218,1,2,M0nkey M00n
